1000,15
1000,30
1000,45
1000,60
1000,75
1000,90
1000,105
1000,120
1000,135
1000,150
1000,1015
1000,1030
1000,1045
1000,1060
1000,1075
1000,1090
1000,1105
1000,1120
1000,1135
1000,1150
1000,1160
1001,632,蛙王
1001,633,悍匪
1001,634,神火教长老
1001,635,金刚
1001,636,神火魔祖
1001,637,巨熊妖
1001,638,噬血恶僧
1001,639,骷髅将军
1001,640,渔人蛛
1001,641,海盗船长
1001,642,犀甲之王
1001,643,死泽鱼妖
1001,644,万虫之母
1001,645,死泽厉鬼
1001,647,血狮
1001,648,玄冥幽鬼
1001,673,金瞳妖蝠
1001,674,炼血死士
1001,675,黑水玄蛇
1001,676,大黑蛭
1001,677,焰魔
1001,678,九命猫王
1001,679,熔岩之王
1001,680,咆哮之王
1001,681,洪荒兽王
1001,5592,黄鸟
1001,5593,烛龙
1001,5594,夔牛
1001,5595,饕餮
1001,5596,鱼人王
1001,5597,巫族长老
1001,10491,不死天尸
1001,10492,八荒火龙
1001,10493,兽神
1001,10669,昆仑奴
1001,10670,法莲王
1001,10671,归蝶王
1001,10672,天忍王
1001,10673,魔獒
1001,10674,樱木王
1001,10675,阴阳王
1001,10676,风火王
1001,10677,安土王
1001,10678,玄天上将
1001,10679,浑沌
1001,10680,开明兽
1001,11020,兽神
1001,11563,冰姹玄女
1001,13575,金铃夫人
1001,13576,黑心老人
1001,13577,鬼先生
1001,13578,万剑一
1001,13579,普智
1001,15702,炼狱魔尊
1001,15703,妙翅鸟
1001,15704,密迹魔主
1001,15705,伥鬼
1001,15805,黄鸟
1001,15827,炼狱魔尊分身
1001,15828,炼狱魔尊
1001,22006,涅槃天尊
1001,22007,仙界圣使
1001,22012,山魈
1001,22106,邪恶先锋·涛
1001,22107,邪恶先锋·凯
1001,22251,背叛者·瞳
1001,22252,背叛者·娟
1001,22253,背叛者·宇
1001,23165,密探·永
1001,24764,骑士·鹏
1001,25949,瘟皇·秦广
1001,25950,战神·龙戊
